material_id,pretty_formula,band_gap,e_above_hull,theoretical
mp-556185,RbNaTiO3,3.4608999999999996,0.0,False
mp-216,Sc2O3,3.8235,0.0,False
mp-218,Sm2O3,3.7823,0.0,False
mp-770806,Sm2TiO5,3.3038999999999996,0.0,False
mp-9488,SmOF,4.693,0.0,False
mp-18510,Sr2SiO4,4.4698,0.0,False
mp-16432,Sr3(BO3)2,4.3938,0.0,False
mp-3393,Sr3Al2O6,4.2046,0.0,False
mp-28940,Sr4Nb2O9,3.6475999999999997,0.0,False
mp-3094,SrAl2O4,4.141400000000001,0.0,False
mp-981,SrF2,6.7528,0.0,False
mp-2472,SrO,3.2874,0.0,False
mp-1056,Tb2O3,3.9006,0.0,False
mp-11347,TbF3,7.7513000000000005,0.0,False
mp-14093,TbOF,4.9436,0.0,False
mp-643,ThO2,4.424999999999999,0.0,False
mp-1767,Tm2O3,3.9804000000000004,0.0,False
mp-2652,Y2O3,4.055999999999999,0.0,False
mp-3637,YOF,4.954,0.0,False
mp-1216,YbO,3.4728000000000003,0.0,False
